Start,End,Open,High,Low,Close,Volume,Market
3/22/2012,3/23/2012,4.7043,4.7043,4.7043,4.7043,0,0
3/21/2012,3/22/2012,4.8149,4.8149,4.8149,4.8149,0,0
3/20/2012,3/21/2012,4.8379,4.8379,4.8379,4.8379,0,0
3/19/2012,3/20/2012,4.6939,4.6939,4.6939,4.6939,0,0
3/18/2012,3/19/2012,5.2794,5.2794,5.2794,5.2794,0,0
3/17/2012,3/18/2012,5.2159,5.2159,5.2159,5.2159,0,0
3/16/2012,3/17/2012,5.3439,5.3439,5.3439,5.3439,0,0
3/15/2012,3/16/2012,5.3266,5.3266,5.3266,5.3266,0,0
3/14/2012,3/15/2012,5.38,5.38,5.38,5.38,0,0
3/13/2012,3/14/2012,5.27,5.27,5.27,5.27,0,0
3/12/2012,3/13/2012,4.8901,4.8901,4.8901,4.8901,0,0
3/11/2012,3/12/2012,4.91,4.91,4.91,4.91,0,0
3/10/2012,3/11/2012,4.8332,4.8332,4.8332,4.8332,0,0
